Using device: cuda, AMP: True
Model: baseline, Parameters: 1,369,859
Epoch [1/600] Loss: 0.019393
Epoch [2/600] Loss: 0.015783
Epoch [3/600] Loss: 0.015094
Epoch [4/600] Loss: 0.014712
Epoch [5/600] Loss: 0.014513
Epoch [6/600] Loss: 0.014271
Epoch [7/600] Loss: 0.014132
Epoch [8/600] Loss: 0.014039
Epoch [9/600] Loss: 0.013926
Epoch [10/600] Loss: 0.013867
Epoch [11/600] Loss: 0.013774
Epoch [12/600] Loss: 0.013702
Epoch [13/600] Loss: 0.013664
Epoch [14/600] Loss: 0.013601
Epoch [15/600] Loss: 0.013527
Epoch [16/600] Loss: 0.013527
Epoch [17/600] Loss: 0.013469
Epoch [18/600] Loss: 0.013445
Epoch [19/600] Loss: 0.013418
Epoch [20/600] Loss: 0.013402
Epoch [21/600] Loss: 0.013358
Epoch [22/600] Loss: 0.013340
Epoch [23/600] Loss: 0.013307
Epoch [24/600] Loss: 0.013285
Epoch [25/600] Loss: 0.013280
Epoch [26/600] Loss: 0.013276
Epoch [27/600] Loss: 0.013249
Epoch [28/600] Loss: 0.013228
Epoch [29/600] Loss: 0.013210
Epoch [30/600] Loss: 0.013196
Epoch [31/600] Loss: 0.013193
Epoch [32/600] Loss: 0.013206
Epoch [33/600] Loss: 0.013159
Epoch [34/600] Loss: 0.013155
Epoch [35/600] Loss: 0.013146
Epoch [36/600] Loss: 0.013121
Epoch [37/600] Loss: 0.013126
Epoch [38/600] Loss: 0.013113
Epoch [39/600] Loss: 0.013098
Epoch [40/600] Loss: 0.013114
Epoch [41/600] Loss: 0.013097
Epoch [42/600] Loss: 0.013093
Epoch [43/600] Loss: 0.013075
Epoch [44/600] Loss: 0.013058
Epoch [45/600] Loss: 0.013060
Epoch [46/600] Loss: 0.013048
Epoch [47/600] Loss: 0.013062
Epoch [48/600] Loss: 0.013046
Epoch [49/600] Loss: 0.013036
Epoch [50/600] Loss: 0.013020 | Val PSNR: 37.4553
  New best model saved (PSNR: 37.4553)
Epoch [51/600] Loss: 0.013036
Epoch [52/600] Loss: 0.013012
Epoch [53/600] Loss: 0.012998
Epoch [54/600] Loss: 0.012999
Epoch [55/600] Loss: 0.013001
Epoch [56/600] Loss: 0.012994
Epoch [57/600] Loss: 0.012994
Epoch [58/600] Loss: 0.012982
Epoch [59/600] Loss: 0.012980
Epoch [60/600] Loss: 0.012965
Epoch [61/600] Loss: 0.012980
Epoch [62/600] Loss: 0.012955
Epoch [63/600] Loss: 0.012957
Epoch [64/600] Loss: 0.012961
Epoch [65/600] Loss: 0.012950
Epoch [66/600] Loss: 0.012947
Epoch [67/600] Loss: 0.012950
Epoch [68/600] Loss: 0.012924
Epoch [69/600] Loss: 0.012937
Epoch [70/600] Loss: 0.012927
Epoch [71/600] Loss: 0.012927
Epoch [72/600] Loss: 0.012935
Epoch [73/600] Loss: 0.012928
Epoch [74/600] Loss: 0.012909
Epoch [75/600] Loss: 0.012915
Epoch [76/600] Loss: 0.012905
Epoch [77/600] Loss: 0.012906
Epoch [78/600] Loss: 0.012915
Epoch [79/600] Loss: 0.012901
Epoch [80/600] Loss: 0.012898
Epoch [81/600] Loss: 0.012892
Epoch [82/600] Loss: 0.012902
Epoch [83/600] Loss: 0.012900
Epoch [84/600] Loss: 0.012892
Epoch [85/600] Loss: 0.012888
Epoch [86/600] Loss: 0.012886
Epoch [87/600] Loss: 0.012889
Epoch [88/600] Loss: 0.012874
Epoch [89/600] Loss: 0.012880
Epoch [90/600] Loss: 0.012874
Epoch [91/600] Loss: 0.012889
Epoch [92/600] Loss: 0.012867
Epoch [93/600] Loss: 0.012876
Epoch [94/600] Loss: 0.012870
Epoch [95/600] Loss: 0.012870
Epoch [96/600] Loss: 0.012861
Epoch [97/600] Loss: 0.012853
Epoch [98/600] Loss: 0.012861
Epoch [99/600] Loss: 0.012859
Epoch [100/600] Loss: 0.012850 | Val PSNR: 37.4472
Epoch [101/600] Loss: 0.012858
Epoch [102/600] Loss: 0.012851
Epoch [103/600] Loss: 0.012847
Epoch [104/600] Loss: 0.012849
Epoch [105/600] Loss: 0.012851
Epoch [106/600] Loss: 0.012849
Epoch [107/600] Loss: 0.012846
Epoch [108/600] Loss: 0.012846
