Using device: cuda, AMP: True
Model: edgesr, Parameters: 1,436,931
Epoch [1/600] Loss: 0.019754
Epoch [2/600] Loss: 0.015540
Epoch [3/600] Loss: 0.014788
Epoch [4/600] Loss: 0.014513
Epoch [5/600] Loss: 0.014112
Epoch [6/600] Loss: 0.013990
Epoch [7/600] Loss: 0.013760
Epoch [8/600] Loss: 0.013451
Epoch [9/600] Loss: 0.013120
Epoch [10/600] Loss: 0.012929
Epoch [11/600] Loss: 0.012835
Epoch [12/600] Loss: 0.012656
Epoch [13/600] Loss: 0.012428
Epoch [14/600] Loss: 0.012289
Epoch [15/600] Loss: 0.012107
Epoch [16/600] Loss: 0.012026
Epoch [17/600] Loss: 0.011839
Epoch [18/600] Loss: 0.011721
Epoch [19/600] Loss: 0.011603
Epoch [20/600] Loss: 0.011534
Epoch [21/600] Loss: 0.011485
Epoch [22/600] Loss: 0.011298
Epoch [23/600] Loss: 0.011224
Epoch [24/600] Loss: 0.011311
Epoch [25/600] Loss: 0.011218
Epoch [26/600] Loss: 0.011095
Epoch [27/600] Loss: 0.011182
Epoch [28/600] Loss: 0.010964
Epoch [29/600] Loss: 0.011034
Epoch [30/600] Loss: 0.010949
Epoch [31/600] Loss: 0.011022
Epoch [32/600] Loss: 0.010982
Epoch [33/600] Loss: 0.010905
Epoch [34/600] Loss: 0.010822
Epoch [35/600] Loss: 0.010904
Epoch [36/600] Loss: 0.010835
Epoch [37/600] Loss: 0.010792
Epoch [38/600] Loss: 0.010692
Epoch [39/600] Loss: 0.010808
Epoch [40/600] Loss: 0.010795
Epoch [41/600] Loss: 0.010733
Epoch [42/600] Loss: 0.010635
Epoch [43/600] Loss: 0.010605
Epoch [44/600] Loss: 0.010634
Epoch [45/600] Loss: 0.010728
Epoch [46/600] Loss: 0.010665
Epoch [47/600] Loss: 0.010661
Epoch [48/600] Loss: 0.010593
Epoch [49/600] Loss: 0.010560
Epoch [50/600] Loss: 0.010551 | Val PSNR: 41.6163
  New best model saved (PSNR: 41.6163)
Epoch [51/600] Loss: 0.010585
Epoch [52/600] Loss: 0.010639
Epoch [53/600] Loss: 0.010564
Epoch [54/600] Loss: 0.010550
Epoch [55/600] Loss: 0.010541
Epoch [56/600] Loss: 0.010545
Epoch [57/600] Loss: 0.010530
Epoch [58/600] Loss: 0.010459
Epoch [59/600] Loss: 0.010517
Epoch [60/600] Loss: 0.010474
Epoch [61/600] Loss: 0.010308
Epoch [62/600] Loss: 0.010457
Epoch [63/600] Loss: 0.010403
Epoch [64/600] Loss: 0.010454
Epoch [65/600] Loss: 0.010457
Epoch [66/600] Loss: 0.010370
Epoch [67/600] Loss: 0.010466
Epoch [68/600] Loss: 0.010410
Epoch [69/600] Loss: 0.010362
Epoch [70/600] Loss: 0.010423
Epoch [71/600] Loss: 0.010326
Epoch [72/600] Loss: 0.010474
Epoch [73/600] Loss: 0.010308
Epoch [74/600] Loss: 0.010337
Epoch [75/600] Loss: 0.010392
