Using device: cuda, AMP: True
Model: edgesr, Parameters: 1,436,931
Epoch [1/600] Loss: 0.030587
Epoch [2/600] Loss: 0.027229
Epoch [3/600] Loss: 0.026511
Epoch [4/600] Loss: 0.026197
Epoch [5/600] Loss: 0.026043
Epoch [6/600] Loss: 0.025776
Epoch [7/600] Loss: 0.025620
Epoch [8/600] Loss: 0.025593
Epoch [9/600] Loss: 0.025549
Epoch [10/600] Loss: 0.025404
Epoch [11/600] Loss: 0.025406
Epoch [12/600] Loss: 0.025410
Epoch [13/600] Loss: 0.025329
Epoch [14/600] Loss: 0.025252
Epoch [15/600] Loss: 0.025182
Epoch [16/600] Loss: 0.025042
Epoch [17/600] Loss: 0.025154
Epoch [18/600] Loss: 0.024944
Epoch [19/600] Loss: 0.025037
Epoch [20/600] Loss: 0.024959
Epoch [21/600] Loss: 0.024963
Epoch [22/600] Loss: 0.024857
Epoch [23/600] Loss: 0.024944
Epoch [24/600] Loss: 0.024848
Epoch [25/600] Loss: 0.024747
Epoch [26/600] Loss: 0.024723
Epoch [27/600] Loss: 0.024799
Epoch [28/600] Loss: 0.024650
Epoch [29/600] Loss: 0.024714
Epoch [30/600] Loss: 0.024676
Epoch [31/600] Loss: 0.024515
Epoch [32/600] Loss: 0.024490
Epoch [33/600] Loss: 0.024509
Epoch [34/600] Loss: 0.024500
Epoch [35/600] Loss: 0.024454
Epoch [36/600] Loss: 0.024398
Epoch [37/600] Loss: 0.024380
Epoch [38/600] Loss: 0.024335
Epoch [39/600] Loss: 0.024360
Epoch [40/600] Loss: 0.024228
Epoch [41/600] Loss: 0.024300
Epoch [42/600] Loss: 0.024202
Epoch [43/600] Loss: 0.024290
Epoch [44/600] Loss: 0.024265
Epoch [45/600] Loss: 0.024296
Epoch [46/600] Loss: 0.024047
Epoch [47/600] Loss: 0.024101
Epoch [48/600] Loss: 0.024066
Epoch [49/600] Loss: 0.024131
Epoch [50/600] Loss: 0.024061 | Val PSNR: 31.1967
  New best model saved (PSNR: 31.1967)
Epoch [51/600] Loss: 0.024103
Epoch [52/600] Loss: 0.023962
Epoch [53/600] Loss: 0.024024
Epoch [54/600] Loss: 0.023995
Epoch [55/600] Loss: 0.023948
Epoch [56/600] Loss: 0.024084
Epoch [57/600] Loss: 0.024098
Epoch [58/600] Loss: 0.023938
Epoch [59/600] Loss: 0.023919
Epoch [60/600] Loss: 0.023760
Epoch [61/600] Loss: 0.023834
Epoch [62/600] Loss: 0.023885
Epoch [63/600] Loss: 0.023887
Epoch [64/600] Loss: 0.023798
Epoch [65/600] Loss: 0.023753
Epoch [66/600] Loss: 0.023823
Epoch [67/600] Loss: 0.023783
Epoch [68/600] Loss: 0.023661
Epoch [69/600] Loss: 0.023764
Epoch [70/600] Loss: 0.023737
Epoch [71/600] Loss: 0.023743
Epoch [72/600] Loss: 0.023668
Epoch [73/600] Loss: 0.023665
Epoch [74/600] Loss: 0.023823
Epoch [75/600] Loss: 0.023777
Epoch [76/600] Loss: 0.023641
Epoch [77/600] Loss: 0.023619
Epoch [78/600] Loss: 0.023644
Epoch [79/600] Loss: 0.023631
Epoch [80/600] Loss: 0.023741
Epoch [81/600] Loss: 0.023582
Epoch [82/600] Loss: 0.023637
Epoch [83/600] Loss: 0.023612
Epoch [84/600] Loss: 0.023623
Epoch [85/600] Loss: 0.023575
Epoch [86/600] Loss: 0.023619
Epoch [87/600] Loss: 0.023564
Epoch [88/600] Loss: 0.023646
Epoch [89/600] Loss: 0.023579
Epoch [90/600] Loss: 0.023526
Epoch [91/600] Loss: 0.023475
Epoch [92/600] Loss: 0.023555
