Using device: cuda, AMP: True
Model: edgesr, Parameters: 1,436,931
Resumed from epoch 700
Epoch [701/1000] Loss: 0.059263
Epoch [702/1000] Loss: 0.058871
Epoch [703/1000] Loss: 0.058861
Epoch [704/1000] Loss: 0.059054
Epoch [705/1000] Loss: 0.058772
Epoch [706/1000] Loss: 0.058660
Epoch [707/1000] Loss: 0.058890
Epoch [708/1000] Loss: 0.058453
Epoch [709/1000] Loss: 0.058697
Epoch [710/1000] Loss: 0.058642
Epoch [711/1000] Loss: 0.058621
Epoch [712/1000] Loss: 0.058250
Epoch [713/1000] Loss: 0.058442
Epoch [714/1000] Loss: 0.058475
Epoch [715/1000] Loss: 0.058510
Epoch [716/1000] Loss: 0.058454
Epoch [717/1000] Loss: 0.058325
Epoch [718/1000] Loss: 0.058169
Epoch [719/1000] Loss: 0.058333
Epoch [720/1000] Loss: 0.058329
Epoch [721/1000] Loss: 0.058249
Epoch [722/1000] Loss: 0.058276
Epoch [723/1000] Loss: 0.058387
Epoch [724/1000] Loss: 0.058128
Epoch [725/1000] Loss: 0.058386
Epoch [726/1000] Loss: 0.058215
Epoch [727/1000] Loss: 0.058282
Epoch [728/1000] Loss: 0.058318
Epoch [729/1000] Loss: 0.058178
Epoch [730/1000] Loss: 0.058154
Epoch [731/1000] Loss: 0.057854
Epoch [732/1000] Loss: 0.058380
Epoch [733/1000] Loss: 0.057954
Epoch [734/1000] Loss: 0.058239
Epoch [735/1000] Loss: 0.058026
Epoch [736/1000] Loss: 0.058073
Epoch [737/1000] Loss: 0.058154
Epoch [738/1000] Loss: 0.057939
Epoch [739/1000] Loss: 0.058155
Epoch [740/1000] Loss: 0.058040
Epoch [741/1000] Loss: 0.057758
Epoch [742/1000] Loss: 0.058054
Epoch [743/1000] Loss: 0.058311
Epoch [744/1000] Loss: 0.058316
Epoch [745/1000] Loss: 0.058056
Epoch [746/1000] Loss: 0.057927
Epoch [747/1000] Loss: 0.058237
Epoch [748/1000] Loss: 0.058222
Epoch [749/1000] Loss: 0.058395
Epoch [750/1000] Loss: 0.057925 | Val PSNR: 24.7648
  New best model saved (PSNR: 24.7648)
Epoch [751/1000] Loss: 0.058406
Epoch [752/1000] Loss: 0.058607
Epoch [753/1000] Loss: 0.058152
Epoch [754/1000] Loss: 0.058216
Epoch [755/1000] Loss: 0.057894
Epoch [756/1000] Loss: 0.058026
Epoch [757/1000] Loss: 0.058039
Epoch [758/1000] Loss: 0.057882
Epoch [759/1000] Loss: 0.058111
Epoch [760/1000] Loss: 0.057883
Epoch [761/1000] Loss: 0.058031
Epoch [762/1000] Loss: 0.057894
Epoch [763/1000] Loss: 0.057858
Epoch [764/1000] Loss: 0.058106
Epoch [765/1000] Loss: 0.057831
Epoch [766/1000] Loss: 0.057972
Epoch [767/1000] Loss: 0.058342
Epoch [768/1000] Loss: 0.058081
Epoch [769/1000] Loss: 0.058191
Epoch [770/1000] Loss: 0.057995
Epoch [771/1000] Loss: 0.057751
Epoch [772/1000] Loss: 0.058401
Epoch [773/1000] Loss: 0.057980
Epoch [774/1000] Loss: 0.057647
Epoch [775/1000] Loss: 0.058170
Epoch [776/1000] Loss: 0.057929
Epoch [777/1000] Loss: 0.057939
Epoch [778/1000] Loss: 0.057953
Epoch [779/1000] Loss: 0.057987
Epoch [780/1000] Loss: 0.057997
Epoch [781/1000] Loss: 0.057926
Epoch [782/1000] Loss: 0.057602
Epoch [783/1000] Loss: 0.057948
Epoch [784/1000] Loss: 0.057990
Epoch [785/1000] Loss: 0.058176
Epoch [786/1000] Loss: 0.057772
Epoch [787/1000] Loss: 0.058041
Epoch [788/1000] Loss: 0.058118
Epoch [789/1000] Loss: 0.057995
Epoch [790/1000] Loss: 0.057684
Epoch [791/1000] Loss: 0.057957
Epoch [792/1000] Loss: 0.057923
Epoch [793/1000] Loss: 0.057807
Epoch [794/1000] Loss: 0.057906
Epoch [795/1000] Loss: 0.057750
Epoch [796/1000] Loss: 0.057887
Epoch [797/1000] Loss: 0.057551
Epoch [798/1000] Loss: 0.057902
Epoch [799/1000] Loss: 0.057879
Epoch [800/1000] Loss: 0.057708 | Val PSNR: 24.6645
Epoch [801/1000] Loss: 0.057779
Epoch [802/1000] Loss: 0.057717
Epoch [803/1000] Loss: 0.057750
Epoch [804/1000] Loss: 0.057443
Epoch [805/1000] Loss: 0.057544
Epoch [806/1000] Loss: 0.057676
Epoch [807/1000] Loss: 0.057626
Epoch [808/1000] Loss: 0.057545
Epoch [809/1000] Loss: 0.057814
Epoch [810/1000] Loss: 0.057640
Epoch [811/1000] Loss: 0.057657
Epoch [812/1000] Loss: 0.057602
Epoch [813/1000] Loss: 0.057777
Epoch [814/1000] Loss: 0.057527
Epoch [815/1000] Loss: 0.057340
Epoch [816/1000] Loss: 0.057435
Epoch [817/1000] Loss: 0.057633
Epoch [818/1000] Loss: 0.057422
Epoch [819/1000] Loss: 0.057479
Epoch [820/1000] Loss: 0.057532
Epoch [821/1000] Loss: 0.057721
Epoch [822/1000] Loss: 0.057527
Epoch [823/1000] Loss: 0.057503
Epoch [824/1000] Loss: 0.057683
Epoch [825/1000] Loss: 0.057745
Epoch [826/1000] Loss: 0.057458
Epoch [827/1000] Loss: 0.057680
Epoch [828/1000] Loss: 0.057427
Epoch [829/1000] Loss: 0.057433
Epoch [830/1000] Loss: 0.057560
Epoch [831/1000] Loss: 0.057201
Epoch [832/1000] Loss: 0.057647
Epoch [833/1000] Loss: 0.057527
Epoch [834/1000] Loss: 0.057451
Epoch [835/1000] Loss: 0.057650
Epoch [836/1000] Loss: 0.057239
Epoch [837/1000] Loss: 0.057682
Epoch [838/1000] Loss: 0.057613
Epoch [839/1000] Loss: 0.057391
Epoch [840/1000] Loss: 0.057572
Epoch [841/1000] Loss: 0.057689
Epoch [842/1000] Loss: 0.057533
Epoch [843/1000] Loss: 0.057414
Epoch [844/1000] Loss: 0.057171
Epoch [845/1000] Loss: 0.057374
Epoch [846/1000] Loss: 0.057482
Epoch [847/1000] Loss: 0.057576
Epoch [848/1000] Loss: 0.057695
Epoch [849/1000] Loss: 0.057554
Epoch [850/1000] Loss: 0.057375 | Val PSNR: 24.7504
Epoch [851/1000] Loss: 0.057507
Epoch [852/1000] Loss: 0.057627
Epoch [853/1000] Loss: 0.057470
Epoch [854/1000] Loss: 0.057511
