Using device: cuda, AMP: True
Model: edgesr_nolcap, Parameters: 1,435,907
Epoch [1/600] Loss: 0.019461
Epoch [2/600] Loss: 0.015685
Epoch [3/600] Loss: 0.014988
Epoch [4/600] Loss: 0.014641
Epoch [5/600] Loss: 0.014353
Epoch [6/600] Loss: 0.014239
Epoch [7/600] Loss: 0.014055
Epoch [8/600] Loss: 0.013956
Epoch [9/600] Loss: 0.013857
Epoch [10/600] Loss: 0.013818
Epoch [11/600] Loss: 0.013718
Epoch [12/600] Loss: 0.013648
Epoch [13/600] Loss: 0.013616
Epoch [14/600] Loss: 0.013578
Epoch [15/600] Loss: 0.013515
Epoch [16/600] Loss: 0.013494
Epoch [17/600] Loss: 0.013464
Epoch [18/600] Loss: 0.013403
Epoch [19/600] Loss: 0.013395
Epoch [20/600] Loss: 0.013339
Epoch [21/600] Loss: 0.013332
Epoch [22/600] Loss: 0.013333
Epoch [23/600] Loss: 0.013288
Epoch [24/600] Loss: 0.013295
Epoch [25/600] Loss: 0.013245
Epoch [26/600] Loss: 0.013253
Epoch [27/600] Loss: 0.013223
Epoch [28/600] Loss: 0.013207
Epoch [29/600] Loss: 0.013200
Epoch [30/600] Loss: 0.013203
Epoch [31/600] Loss: 0.013184
Epoch [32/600] Loss: 0.013161
Epoch [33/600] Loss: 0.013164
Epoch [34/600] Loss: 0.013132
Epoch [35/600] Loss: 0.013124
Epoch [36/600] Loss: 0.013100
Epoch [37/600] Loss: 0.013109
Epoch [38/600] Loss: 0.013091
Epoch [39/600] Loss: 0.013090
Epoch [40/600] Loss: 0.013076
Epoch [41/600] Loss: 0.013083
Epoch [42/600] Loss: 0.013064
Epoch [43/600] Loss: 0.013052
Epoch [44/600] Loss: 0.013056
Epoch [45/600] Loss: 0.013045
Epoch [46/600] Loss: 0.013026
Epoch [47/600] Loss: 0.013028
Epoch [48/600] Loss: 0.013021
Epoch [49/600] Loss: 0.013016
Epoch [50/600] Loss: 0.013010 | Val PSNR: 37.3653
  New best model saved (PSNR: 37.3653)
Epoch [51/600] Loss: 0.013008
Epoch [52/600] Loss: 0.012993
Epoch [53/600] Loss: 0.013006
Epoch [54/600] Loss: 0.012982
Epoch [55/600] Loss: 0.012979
Epoch [56/600] Loss: 0.012979
Epoch [57/600] Loss: 0.012988
Epoch [58/600] Loss: 0.012972
Epoch [59/600] Loss: 0.012982
Epoch [60/600] Loss: 0.012950
Epoch [61/600] Loss: 0.012979
Epoch [62/600] Loss: 0.012969
Epoch [63/600] Loss: 0.012961
Epoch [64/600] Loss: 0.012946
Epoch [65/600] Loss: 0.012952
Epoch [66/600] Loss: 0.012937
Epoch [67/600] Loss: 0.012935
Epoch [68/600] Loss: 0.012939
Epoch [69/600] Loss: 0.012941
Epoch [70/600] Loss: 0.012936
Epoch [71/600] Loss: 0.012926
Epoch [72/600] Loss: 0.012920
Epoch [73/600] Loss: 0.012917
Epoch [74/600] Loss: 0.012929
Epoch [75/600] Loss: 0.012920
Epoch [76/600] Loss: 0.012919
Epoch [77/600] Loss: 0.012898
Epoch [78/600] Loss: 0.012897
Epoch [79/600] Loss: 0.012902
Epoch [80/600] Loss: 0.012897
Epoch [81/600] Loss: 0.012897
Epoch [82/600] Loss: 0.012895
Epoch [83/600] Loss: 0.012892
Epoch [84/600] Loss: 0.012891
Epoch [85/600] Loss: 0.012884
Epoch [86/600] Loss: 0.012884
Epoch [87/600] Loss: 0.012875
Epoch [88/600] Loss: 0.012882
Epoch [89/600] Loss: 0.012891
Epoch [90/600] Loss: 0.012877
Epoch [91/600] Loss: 0.012879
Epoch [92/600] Loss: 0.012867
Epoch [93/600] Loss: 0.012855
Epoch [94/600] Loss: 0.012865
Epoch [95/600] Loss: 0.012864
Epoch [96/600] Loss: 0.012859
Epoch [97/600] Loss: 0.012856
Epoch [98/600] Loss: 0.012850
Epoch [99/600] Loss: 0.012862
Epoch [100/600] Loss: 0.012852 | Val PSNR: 37.4330
  New best model saved (PSNR: 37.4330)
Epoch [101/600] Loss: 0.012845
Epoch [102/600] Loss: 0.012853
Epoch [103/600] Loss: 0.012838
Epoch [104/600] Loss: 0.012856
Epoch [105/600] Loss: 0.012834
Epoch [106/600] Loss: 0.012832
Epoch [107/600] Loss: 0.012836
Epoch [108/600] Loss: 0.012833
Epoch [109/600] Loss: 0.012830
Epoch [110/600] Loss: 0.012836
Epoch [111/600] Loss: 0.012823
Epoch [112/600] Loss: 0.012832
Epoch [113/600] Loss: 0.012828
Epoch [114/600] Loss: 0.012840
Epoch [115/600] Loss: 0.012819
Epoch [116/600] Loss: 0.012812
Epoch [117/600] Loss: 0.012820
Epoch [118/600] Loss: 0.012814
Epoch [119/600] Loss: 0.012822
Epoch [120/600] Loss: 0.012816
Epoch [121/600] Loss: 0.012823
Epoch [122/600] Loss: 0.012814
Epoch [123/600] Loss: 0.012806
Epoch [124/600] Loss: 0.012810
Epoch [125/600] Loss: 0.012813
Epoch [126/600] Loss: 0.012796
Epoch [127/600] Loss: 0.012805
Epoch [128/600] Loss: 0.012802
Epoch [129/600] Loss: 0.012807
Epoch [130/600] Loss: 0.012802
Epoch [131/600] Loss: 0.012798
Epoch [132/600] Loss: 0.012792
Epoch [133/600] Loss: 0.012797
Epoch [134/600] Loss: 0.012804
Epoch [135/600] Loss: 0.012789
Epoch [136/600] Loss: 0.012796
Epoch [137/600] Loss: 0.012795
Epoch [138/600] Loss: 0.012795
Epoch [139/600] Loss: 0.012794
Epoch [140/600] Loss: 0.012793
Epoch [141/600] Loss: 0.012793
Epoch [142/600] Loss: 0.012773
Epoch [143/600] Loss: 0.012787
Epoch [144/600] Loss: 0.012793
Epoch [145/600] Loss: 0.012784
Epoch [146/600] Loss: 0.012792
Epoch [147/600] Loss: 0.012783
Epoch [148/600] Loss: 0.012781
Epoch [149/600] Loss: 0.012781
Epoch [150/600] Loss: 0.012765 | Val PSNR: 37.6137
  New best model saved (PSNR: 37.6137)
Epoch [151/600] Loss: 0.012785
Epoch [152/600] Loss: 0.012775
Epoch [153/600] Loss: 0.012776
Epoch [154/600] Loss: 0.012777
Epoch [155/600] Loss: 0.012766
Epoch [156/600] Loss: 0.012773
Epoch [157/600] Loss: 0.012774
Epoch [158/600] Loss: 0.012767
Epoch [159/600] Loss: 0.012769
Epoch [160/600] Loss: 0.012757
Epoch [161/600] Loss: 0.012772
Epoch [162/600] Loss: 0.012762
Epoch [163/600] Loss: 0.012762
Epoch [164/600] Loss: 0.012765
Epoch [165/600] Loss: 0.012763
Epoch [166/600] Loss: 0.012760
Epoch [167/600] Loss: 0.012765
Epoch [168/600] Loss: 0.012760
Epoch [169/600] Loss: 0.012759
Epoch [170/600] Loss: 0.012750
Epoch [171/600] Loss: 0.012760
Epoch [172/600] Loss: 0.012751
Epoch [173/600] Loss: 0.012755
Epoch [174/600] Loss: 0.012746
Epoch [175/600] Loss: 0.012754
Epoch [176/600] Loss: 0.012747
Epoch [177/600] Loss: 0.012741
Epoch [178/600] Loss: 0.012738
Epoch [179/600] Loss: 0.012744
Epoch [180/600] Loss: 0.012754
Epoch [181/600] Loss: 0.012741
Epoch [182/600] Loss: 0.012736
Epoch [183/600] Loss: 0.012738
Epoch [184/600] Loss: 0.012735
Epoch [185/600] Loss: 0.012744
Epoch [186/600] Loss: 0.012726
Epoch [187/600] Loss: 0.012737
Epoch [188/600] Loss: 0.012728
Epoch [189/600] Loss: 0.012729
Epoch [190/600] Loss: 0.012735
Epoch [191/600] Loss: 0.012733
Epoch [192/600] Loss: 0.012730
Epoch [193/600] Loss: 0.012735
Epoch [194/600] Loss: 0.012730
Epoch [195/600] Loss: 0.012732
Epoch [196/600] Loss: 0.012728
Epoch [197/600] Loss: 0.012729
Epoch [198/600] Loss: 0.012730
Epoch [199/600] Loss: 0.012715
Epoch [200/600] Loss: 0.012733 | Val PSNR: 37.3082
Epoch [201/600] Loss: 0.012634
Epoch [202/600] Loss: 0.012627
Epoch [203/600] Loss: 0.012626
Epoch [204/600] Loss: 0.012622
Epoch [205/600] Loss: 0.012626
Epoch [206/600] Loss: 0.012622
Epoch [207/600] Loss: 0.012624
Epoch [208/600] Loss: 0.012616
Epoch [209/600] Loss: 0.012619
Epoch [210/600] Loss: 0.012620
Epoch [211/600] Loss: 0.012618
Epoch [212/600] Loss: 0.012617
Epoch [213/600] Loss: 0.012618
Epoch [214/600] Loss: 0.012615
Epoch [215/600] Loss: 0.012622
Epoch [216/600] Loss: 0.012615
Epoch [217/600] Loss: 0.012614
Epoch [218/600] Loss: 0.012617
Epoch [219/600] Loss: 0.012614
Epoch [220/600] Loss: 0.012613
Epoch [221/600] Loss: 0.012610
Epoch [222/600] Loss: 0.012613
Epoch [223/600] Loss: 0.012610
Epoch [224/600] Loss: 0.012615
Epoch [225/600] Loss: 0.012611
Epoch [226/600] Loss: 0.012612
Epoch [227/600] Loss: 0.012610
Epoch [228/600] Loss: 0.012610
Epoch [229/600] Loss: 0.012615
Epoch [230/600] Loss: 0.012610
Epoch [231/600] Loss: 0.012607
Epoch [232/600] Loss: 0.012608
Epoch [233/600] Loss: 0.012611
Epoch [234/600] Loss: 0.012609
Epoch [235/600] Loss: 0.012603
Epoch [236/600] Loss: 0.012605
Epoch [237/600] Loss: 0.012606
Epoch [238/600] Loss: 0.012604
Epoch [239/600] Loss: 0.012606
Epoch [240/600] Loss: 0.012602
Epoch [241/600] Loss: 0.012608
Epoch [242/600] Loss: 0.012605
Epoch [243/600] Loss: 0.012605
Epoch [244/600] Loss: 0.012606
Epoch [245/600] Loss: 0.012603
Epoch [246/600] Loss: 0.012603
Epoch [247/600] Loss: 0.012606
Epoch [248/600] Loss: 0.012603
Epoch [249/600] Loss: 0.012599
