Using device: cuda, AMP: True
Loaded pretrained EdgeSR from ./checkpoints/edgesr_standard_best.pt
Model: edgesr_pruned, Parameters: 1,435,907
Epoch [1/100] Loss: 0.016986
Epoch [2/100] Loss: 0.016631
Epoch [3/100] Loss: 0.016617
Epoch [4/100] Loss: 0.016613
Epoch [5/100] Loss: 0.016614
Epoch [6/100] Loss: 0.016606
Epoch [7/100] Loss: 0.016602
Epoch [8/100] Loss: 0.016603
Epoch [9/100] Loss: 0.016606
Epoch [10/100] Loss: 0.016607
Epoch [11/100] Loss: 0.016607
Epoch [12/100] Loss: 0.016602
Epoch [13/100] Loss: 0.016602
Epoch [14/100] Loss: 0.016599
Epoch [15/100] Loss: 0.016600
Epoch [16/100] Loss: 0.016600
Epoch [17/100] Loss: 0.016602
Epoch [18/100] Loss: 0.016603
Epoch [19/100] Loss: 0.016601
Epoch [20/100] Loss: 0.016601
Epoch [21/100] Loss: 0.016602
Epoch [22/100] Loss: 0.016602
Epoch [23/100] Loss: 0.016600
Epoch [24/100] Loss: 0.016601
Epoch [25/100] Loss: 0.016602
Epoch [26/100] Loss: 0.016600
Epoch [27/100] Loss: 0.016601
Epoch [28/100] Loss: 0.016600
Epoch [29/100] Loss: 0.016598
Epoch [30/100] Loss: 0.016599
Epoch [31/100] Loss: 0.016598
Epoch [32/100] Loss: 0.016597
Epoch [33/100] Loss: 0.016598
Epoch [34/100] Loss: 0.016597
Epoch [35/100] Loss: 0.016597
Epoch [36/100] Loss: 0.016600
Epoch [37/100] Loss: 0.016598
Epoch [38/100] Loss: 0.016597
Epoch [39/100] Loss: 0.016599
Epoch [40/100] Loss: 0.016596
Epoch [41/100] Loss: 0.016600
Epoch [42/100] Loss: 0.016597
Epoch [43/100] Loss: 0.016597
Epoch [44/100] Loss: 0.016598
Epoch [45/100] Loss: 0.016597
Epoch [46/100] Loss: 0.016596
Epoch [47/100] Loss: 0.016598
Epoch [48/100] Loss: 0.016599
Epoch [49/100] Loss: 0.016599
Epoch [50/100] Loss: 0.016600 | Val PSNR: 35.0874
  New best model saved (PSNR: 35.0874)
Epoch [51/100] Loss: 0.016592
Epoch [52/100] Loss: 0.016591
Epoch [53/100] Loss: 0.016589
Epoch [54/100] Loss: 0.016591
Epoch [55/100] Loss: 0.016590
Epoch [56/100] Loss: 0.016589
Epoch [57/100] Loss: 0.016592
Epoch [58/100] Loss: 0.016593
Epoch [59/100] Loss: 0.016590
Epoch [60/100] Loss: 0.016591
Epoch [61/100] Loss: 0.016591
Epoch [62/100] Loss: 0.016590
Epoch [63/100] Loss: 0.016591
Epoch [64/100] Loss: 0.016589
Epoch [65/100] Loss: 0.016590
Epoch [66/100] Loss: 0.016590
Epoch [67/100] Loss: 0.016590
Epoch [68/100] Loss: 0.016591
Epoch [69/100] Loss: 0.016588
Epoch [70/100] Loss: 0.016590
Epoch [71/100] Loss: 0.016588
Epoch [72/100] Loss: 0.016591
Epoch [73/100] Loss: 0.016588
Epoch [74/100] Loss: 0.016589
Epoch [75/100] Loss: 0.016589
Epoch [76/100] Loss: 0.016588
Epoch [77/100] Loss: 0.016588
Epoch [78/100] Loss: 0.016589
Epoch [79/100] Loss: 0.016589
Epoch [80/100] Loss: 0.016589
Epoch [81/100] Loss: 0.016589
Epoch [82/100] Loss: 0.016590
Epoch [83/100] Loss: 0.016590
Epoch [84/100] Loss: 0.016589
Epoch [85/100] Loss: 0.016590
Epoch [86/100] Loss: 0.016591
Epoch [87/100] Loss: 0.016588
Epoch [88/100] Loss: 0.016589
Epoch [89/100] Loss: 0.016590
Epoch [90/100] Loss: 0.016588
Epoch [91/100] Loss: 0.016589
Epoch [92/100] Loss: 0.016592
Epoch [93/100] Loss: 0.016590
Epoch [94/100] Loss: 0.016591
Epoch [95/100] Loss: 0.016590
Epoch [96/100] Loss: 0.016591
Epoch [97/100] Loss: 0.016591
Epoch [98/100] Loss: 0.016591
Epoch [99/100] Loss: 0.016590
Epoch [100/100] Loss: 0.016589 | Val PSNR: 35.2136
  New best model saved (PSNR: 35.2136)
