Using device: cuda, AMP: True
Model: edgesr, Parameters: 1,436,931
Epoch [1/600] Loss: 0.215658
Epoch [2/600] Loss: 0.110818
Epoch [3/600] Loss: 0.065463
Epoch [4/600] Loss: 0.050467
Epoch [5/600] Loss: 0.043009
Epoch [6/600] Loss: 0.039523
Epoch [7/600] Loss: 0.034904
Epoch [8/600] Loss: 0.032730
Epoch [9/600] Loss: 0.029687
Epoch [10/600] Loss: 0.029240
Epoch [11/600] Loss: 0.028539
Epoch [12/600] Loss: 0.027163
Epoch [13/600] Loss: 0.026788
Epoch [14/600] Loss: 0.027402
Epoch [15/600] Loss: 0.026995
Epoch [16/600] Loss: 0.026061
Epoch [17/600] Loss: 0.024229
Epoch [18/600] Loss: 0.025826
Epoch [19/600] Loss: 0.024971
Epoch [20/600] Loss: 0.026061
Epoch [21/600] Loss: 0.025928
Epoch [22/600] Loss: 0.027031
Epoch [23/600] Loss: 0.026204
Epoch [24/600] Loss: 0.026200
Epoch [25/600] Loss: 0.025101
Epoch [26/600] Loss: 0.024566
Epoch [27/600] Loss: 0.024758
Epoch [28/600] Loss: 0.024182
Epoch [29/600] Loss: 0.024750
Epoch [30/600] Loss: 0.024007
Epoch [31/600] Loss: 0.024251
Epoch [32/600] Loss: 0.024757
Epoch [33/600] Loss: 0.025917
Epoch [34/600] Loss: 0.024688
Epoch [35/600] Loss: 0.023880
Epoch [36/600] Loss: 0.023960
Epoch [37/600] Loss: 0.023744
Epoch [38/600] Loss: 0.024233
Epoch [39/600] Loss: 0.023968
Epoch [40/600] Loss: 0.023026
Epoch [41/600] Loss: 0.024098
Epoch [42/600] Loss: 0.024162
Epoch [43/600] Loss: 0.023776
Epoch [44/600] Loss: 0.023859
Epoch [45/600] Loss: 0.023218
Epoch [46/600] Loss: 0.024159
Epoch [47/600] Loss: 0.022674
Epoch [48/600] Loss: 0.024099
Epoch [49/600] Loss: 0.023789
Epoch [50/600] Loss: 0.022469 | Val PSNR: 30.5721
  New best model saved (PSNR: 30.5721)
Epoch [51/600] Loss: 0.023311
Epoch [52/600] Loss: 0.024291
Epoch [53/600] Loss: 0.023917
Epoch [54/600] Loss: 0.022691
Epoch [55/600] Loss: 0.022309
Epoch [56/600] Loss: 0.023769
Epoch [57/600] Loss: 0.023778
Epoch [58/600] Loss: 0.023548
Epoch [59/600] Loss: 0.022893
Epoch [60/600] Loss: 0.022933
Epoch [61/600] Loss: 0.023201
Epoch [62/600] Loss: 0.022703
Epoch [63/600] Loss: 0.022555
Epoch [64/600] Loss: 0.022576
Epoch [65/600] Loss: 0.022959
Epoch [66/600] Loss: 0.023378
Epoch [67/600] Loss: 0.023000
Epoch [68/600] Loss: 0.023278
Epoch [69/600] Loss: 0.022391
Epoch [70/600] Loss: 0.023170
Epoch [71/600] Loss: 0.022628
Epoch [72/600] Loss: 0.021610
Epoch [73/600] Loss: 0.022569
Epoch [74/600] Loss: 0.022396
Epoch [75/600] Loss: 0.022516
Epoch [76/600] Loss: 0.021761
Epoch [77/600] Loss: 0.023637
Epoch [78/600] Loss: 0.022198
Epoch [79/600] Loss: 0.021794
Epoch [80/600] Loss: 0.021788
Epoch [81/600] Loss: 0.022884
Epoch [82/600] Loss: 0.022301
Epoch [83/600] Loss: 0.023513
Epoch [84/600] Loss: 0.021840
Epoch [85/600] Loss: 0.022219
Epoch [86/600] Loss: 0.022592
Epoch [87/600] Loss: 0.022078
