Using device: cuda, AMP: True
Model: edgesr, Parameters: 1,436,931
Resumed from epoch 750
Epoch [751/1100] Loss: 0.090773
Epoch [752/1100] Loss: 0.091134
Epoch [753/1100] Loss: 0.090885
Epoch [754/1100] Loss: 0.090599
Epoch [755/1100] Loss: 0.090974
Epoch [756/1100] Loss: 0.090681
Epoch [757/1100] Loss: 0.090701
Epoch [758/1100] Loss: 0.090835
Epoch [759/1100] Loss: 0.090674
Epoch [760/1100] Loss: 0.090819
Epoch [761/1100] Loss: 0.090324
Epoch [762/1100] Loss: 0.090783
Epoch [763/1100] Loss: 0.090818
Epoch [764/1100] Loss: 0.090590
Epoch [765/1100] Loss: 0.090601
Epoch [766/1100] Loss: 0.090556
Epoch [767/1100] Loss: 0.090525
Epoch [768/1100] Loss: 0.090609
Epoch [769/1100] Loss: 0.090407
Epoch [770/1100] Loss: 0.090349
Epoch [771/1100] Loss: 0.090476
Epoch [772/1100] Loss: 0.090760
Epoch [773/1100] Loss: 0.090555
Epoch [774/1100] Loss: 0.090946
Epoch [775/1100] Loss: 0.090802
Epoch [776/1100] Loss: 0.090549
Epoch [777/1100] Loss: 0.090648
Epoch [778/1100] Loss: 0.090414
Epoch [779/1100] Loss: 0.090624
Epoch [780/1100] Loss: 0.090700
Epoch [781/1100] Loss: 0.090485
Epoch [782/1100] Loss: 0.090461
Epoch [783/1100] Loss: 0.090433
Epoch [784/1100] Loss: 0.090516
Epoch [785/1100] Loss: 0.090539
Epoch [786/1100] Loss: 0.090297
Epoch [787/1100] Loss: 0.090648
Epoch [788/1100] Loss: 0.090214
Epoch [789/1100] Loss: 0.090414
Epoch [790/1100] Loss: 0.090189
Epoch [791/1100] Loss: 0.090375
Epoch [792/1100] Loss: 0.090204
Epoch [793/1100] Loss: 0.090448
Epoch [794/1100] Loss: 0.090301
Epoch [795/1100] Loss: 0.090193
Epoch [796/1100] Loss: 0.090502
Epoch [797/1100] Loss: 0.090474
Epoch [798/1100] Loss: 0.090488
Epoch [799/1100] Loss: 0.090387
Epoch [800/1100] Loss: 0.090122 | Val PSNR: 24.6895
  New best model saved (PSNR: 24.6895)
Epoch [801/1100] Loss: 0.090228
Epoch [802/1100] Loss: 0.090477
Epoch [803/1100] Loss: 0.090222
Epoch [804/1100] Loss: 0.090180
Epoch [805/1100] Loss: 0.090331
Epoch [806/1100] Loss: 0.090045
Epoch [807/1100] Loss: 0.090104
Epoch [808/1100] Loss: 0.090047
Epoch [809/1100] Loss: 0.089889
Epoch [810/1100] Loss: 0.089914
Epoch [811/1100] Loss: 0.089755
Epoch [812/1100] Loss: 0.090303
Epoch [813/1100] Loss: 0.090090
Epoch [814/1100] Loss: 0.090057
Epoch [815/1100] Loss: 0.089875
Epoch [816/1100] Loss: 0.090074
Epoch [817/1100] Loss: 0.090067
Epoch [818/1100] Loss: 0.089805
Epoch [819/1100] Loss: 0.089921
Epoch [820/1100] Loss: 0.089933
Epoch [821/1100] Loss: 0.090086
Epoch [822/1100] Loss: 0.090081
Epoch [823/1100] Loss: 0.089844
Epoch [824/1100] Loss: 0.089637
Epoch [825/1100] Loss: 0.089843
Epoch [826/1100] Loss: 0.089883
Epoch [827/1100] Loss: 0.089710
Epoch [828/1100] Loss: 0.090116
Epoch [829/1100] Loss: 0.089581
Epoch [830/1100] Loss: 0.089729
Epoch [831/1100] Loss: 0.089943
Epoch [832/1100] Loss: 0.089952
Epoch [833/1100] Loss: 0.089944
Epoch [834/1100] Loss: 0.090032
Epoch [835/1100] Loss: 0.090200
Epoch [836/1100] Loss: 0.090024
Epoch [837/1100] Loss: 0.090177
Epoch [838/1100] Loss: 0.089779
Epoch [839/1100] Loss: 0.089872
Epoch [840/1100] Loss: 0.090058
Epoch [841/1100] Loss: 0.089930
Epoch [842/1100] Loss: 0.089270
Epoch [843/1100] Loss: 0.089686
Epoch [844/1100] Loss: 0.089649
Epoch [845/1100] Loss: 0.089736
Epoch [846/1100] Loss: 0.090207
Epoch [847/1100] Loss: 0.090104
Epoch [848/1100] Loss: 0.089995
Epoch [849/1100] Loss: 0.089922
Epoch [850/1100] Loss: 0.089792 | Val PSNR: 24.6889
Epoch [851/1100] Loss: 0.089557
Epoch [852/1100] Loss: 0.089443
Epoch [853/1100] Loss: 0.090028
Epoch [854/1100] Loss: 0.089829
Epoch [855/1100] Loss: 0.090037
Epoch [856/1100] Loss: 0.089876
Epoch [857/1100] Loss: 0.090027
Epoch [858/1100] Loss: 0.090029
Epoch [859/1100] Loss: 0.089676
Epoch [860/1100] Loss: 0.089702
Epoch [861/1100] Loss: 0.090015
Epoch [862/1100] Loss: 0.089724
Epoch [863/1100] Loss: 0.089893
Epoch [864/1100] Loss: 0.090047
Epoch [865/1100] Loss: 0.089662
Epoch [866/1100] Loss: 0.089922
Epoch [867/1100] Loss: 0.089777
Epoch [868/1100] Loss: 0.089698
Epoch [869/1100] Loss: 0.089487
Epoch [870/1100] Loss: 0.089608
Epoch [871/1100] Loss: 0.089570
Epoch [872/1100] Loss: 0.089791
Epoch [873/1100] Loss: 0.089789
Epoch [874/1100] Loss: 0.089731
Epoch [875/1100] Loss: 0.089673
Epoch [876/1100] Loss: 0.089948
Epoch [877/1100] Loss: 0.089794
Epoch [878/1100] Loss: 0.089764
Epoch [879/1100] Loss: 0.089584
Epoch [880/1100] Loss: 0.090061
Epoch [881/1100] Loss: 0.090111
Epoch [882/1100] Loss: 0.089469
Epoch [883/1100] Loss: 0.089779
Epoch [884/1100] Loss: 0.089775
Epoch [885/1100] Loss: 0.090154
Epoch [886/1100] Loss: 0.089893
Epoch [887/1100] Loss: 0.089701
Epoch [888/1100] Loss: 0.089599
Epoch [889/1100] Loss: 0.089668
Epoch [890/1100] Loss: 0.089779
Epoch [891/1100] Loss: 0.089647
