Using device: cuda, AMP: True
Model: edgesr, Parameters: 1,436,931
Epoch [1/600] Loss: 0.021260
Epoch [2/600] Loss: 0.017718
Epoch [3/600] Loss: 0.017201
Epoch [4/600] Loss: 0.016567
Epoch [5/600] Loss: 0.015766
Epoch [6/600] Loss: 0.015248
Epoch [7/600] Loss: 0.014916
Epoch [8/600] Loss: 0.014625
Epoch [9/600] Loss: 0.014557
Epoch [10/600] Loss: 0.014461
Epoch [11/600] Loss: 0.014395
Epoch [12/600] Loss: 0.014320
Epoch [13/600] Loss: 0.014240
Epoch [14/600] Loss: 0.014225
Epoch [15/600] Loss: 0.014157
Epoch [16/600] Loss: 0.014132
Epoch [17/600] Loss: 0.014101
Epoch [18/600] Loss: 0.014067
Epoch [19/600] Loss: 0.014040
Epoch [20/600] Loss: 0.014009
Epoch [21/600] Loss: 0.013972
Epoch [22/600] Loss: 0.013944
Epoch [23/600] Loss: 0.013928
Epoch [24/600] Loss: 0.013937
Epoch [25/600] Loss: 0.013879
Epoch [26/600] Loss: 0.013868
Epoch [27/600] Loss: 0.013837
Epoch [28/600] Loss: 0.013824
Epoch [29/600] Loss: 0.013814
Epoch [30/600] Loss: 0.013799
Epoch [31/600] Loss: 0.013767
Epoch [32/600] Loss: 0.013749
Epoch [33/600] Loss: 0.013734
Epoch [34/600] Loss: 0.013709
Epoch [35/600] Loss: 0.013680
Epoch [36/600] Loss: 0.013668
Epoch [37/600] Loss: 0.013646
Epoch [38/600] Loss: 0.013621
Epoch [39/600] Loss: 0.013599
Epoch [40/600] Loss: 0.013576
Epoch [41/600] Loss: 0.013557
Epoch [42/600] Loss: 0.013532
Epoch [43/600] Loss: 0.013522
Epoch [44/600] Loss: 0.013491
Epoch [45/600] Loss: 0.013491
Epoch [46/600] Loss: 0.013470
Epoch [47/600] Loss: 0.013459
Epoch [48/600] Loss: 0.013446
Epoch [49/600] Loss: 0.013436
Epoch [50/600] Loss: 0.013431 | Val PSNR: 37.2299
  New best model saved (PSNR: 37.2299)
Epoch [51/600] Loss: 0.013410
Epoch [52/600] Loss: 0.013402
Epoch [53/600] Loss: 0.013390
Epoch [54/600] Loss: 0.013370
Epoch [55/600] Loss: 0.013375
Epoch [56/600] Loss: 0.013355
Epoch [57/600] Loss: 0.013362
Epoch [58/600] Loss: 0.013324
Epoch [59/600] Loss: 0.013328
Epoch [60/600] Loss: 0.013311
Epoch [61/600] Loss: 0.013293
Epoch [62/600] Loss: 0.013299
Epoch [63/600] Loss: 0.013284
Epoch [64/600] Loss: 0.013272
Epoch [65/600] Loss: 0.013278
Epoch [66/600] Loss: 0.013260
Epoch [67/600] Loss: 0.013249
Epoch [68/600] Loss: 0.013235
Epoch [69/600] Loss: 0.013223
Epoch [70/600] Loss: 0.013221
Epoch [71/600] Loss: 0.013212
Epoch [72/600] Loss: 0.013195
Epoch [73/600] Loss: 0.013192
Epoch [74/600] Loss: 0.013183
Epoch [75/600] Loss: 0.013181
Epoch [76/600] Loss: 0.013181
Epoch [77/600] Loss: 0.013171
Epoch [78/600] Loss: 0.013177
Epoch [79/600] Loss: 0.013149
Epoch [80/600] Loss: 0.013149
Epoch [81/600] Loss: 0.013154
Epoch [82/600] Loss: 0.013132
Epoch [83/600] Loss: 0.013135
Epoch [84/600] Loss: 0.013130
Epoch [85/600] Loss: 0.013131
Epoch [86/600] Loss: 0.013119
Epoch [87/600] Loss: 0.013114
Epoch [88/600] Loss: 0.013111
Epoch [89/600] Loss: 0.013106
Epoch [90/600] Loss: 0.013095
Epoch [91/600] Loss: 0.013093
Epoch [92/600] Loss: 0.013096
Epoch [93/600] Loss: 0.013083
Epoch [94/600] Loss: 0.013080
Epoch [95/600] Loss: 0.013084
Epoch [96/600] Loss: 0.013074
Epoch [97/600] Loss: 0.013070
Epoch [98/600] Loss: 0.013066
Epoch [99/600] Loss: 0.013067
Epoch [100/600] Loss: 0.013062 | Val PSNR: 37.4719
  New best model saved (PSNR: 37.4719)
Epoch [101/600] Loss: 0.013050
Epoch [102/600] Loss: 0.013057
Epoch [103/600] Loss: 0.013038
Epoch [104/600] Loss: 0.013041
Epoch [105/600] Loss: 0.013043
Epoch [106/600] Loss: 0.013046
Epoch [107/600] Loss: 0.013038
Epoch [108/600] Loss: 0.013023
Epoch [109/600] Loss: 0.013031
Epoch [110/600] Loss: 0.013021
Epoch [111/600] Loss: 0.013025
Epoch [112/600] Loss: 0.013021
Epoch [113/600] Loss: 0.013012
Epoch [114/600] Loss: 0.013015
Epoch [115/600] Loss: 0.013007
Epoch [116/600] Loss: 0.013008
Epoch [117/600] Loss: 0.013007
Epoch [118/600] Loss: 0.012994
Epoch [119/600] Loss: 0.013002
Epoch [120/600] Loss: 0.013002
Epoch [121/600] Loss: 0.012998
Epoch [122/600] Loss: 0.012991
Epoch [123/600] Loss: 0.012994
Epoch [124/600] Loss: 0.012979
Epoch [125/600] Loss: 0.012993
Epoch [126/600] Loss: 0.012985
Epoch [127/600] Loss: 0.012968
Epoch [128/600] Loss: 0.012997
Epoch [129/600] Loss: 0.012973
Epoch [130/600] Loss: 0.012972
Epoch [131/600] Loss: 0.012993
Epoch [132/600] Loss: 0.012962
Epoch [133/600] Loss: 0.012974
Epoch [134/600] Loss: 0.012966
Epoch [135/600] Loss: 0.012964
Epoch [136/600] Loss: 0.012951
Epoch [137/600] Loss: 0.012957
Epoch [138/600] Loss: 0.012957
Epoch [139/600] Loss: 0.012947
Epoch [140/600] Loss: 0.012947
Epoch [141/600] Loss: 0.012948
Epoch [142/600] Loss: 0.012960
Epoch [143/600] Loss: 0.012940
Epoch [144/600] Loss: 0.012944
Epoch [145/600] Loss: 0.012938
Epoch [146/600] Loss: 0.012935
Epoch [147/600] Loss: 0.012944
Epoch [148/600] Loss: 0.012933
Epoch [149/600] Loss: 0.012929
Epoch [150/600] Loss: 0.012926 | Val PSNR: 37.5306
  New best model saved (PSNR: 37.5306)
Epoch [151/600] Loss: 0.012936
Epoch [152/600] Loss: 0.012922
Epoch [153/600] Loss: 0.012928
Epoch [154/600] Loss: 0.012927
Epoch [155/600] Loss: 0.012910
Epoch [156/600] Loss: 0.012915
Epoch [157/600] Loss: 0.012914
Epoch [158/600] Loss: 0.012922
Epoch [159/600] Loss: 0.012907
Epoch [160/600] Loss: 0.012907
Epoch [161/600] Loss: 0.012899
Epoch [162/600] Loss: 0.012900
Epoch [163/600] Loss: 0.012913
Epoch [164/600] Loss: 0.012898
Epoch [165/600] Loss: 0.012902
Epoch [166/600] Loss: 0.012908
Epoch [167/600] Loss: 0.012911
Epoch [168/600] Loss: 0.012895
Epoch [169/600] Loss: 0.012898
Epoch [170/600] Loss: 0.012900
Epoch [171/600] Loss: 0.012884
Epoch [172/600] Loss: 0.012889
Epoch [173/600] Loss: 0.012902
Epoch [174/600] Loss: 0.012885
Epoch [175/600] Loss: 0.012892
Epoch [176/600] Loss: 0.012886
Epoch [177/600] Loss: 0.012881
Epoch [178/600] Loss: 0.012893
Epoch [179/600] Loss: 0.012886
Epoch [180/600] Loss: 0.012874
Epoch [181/600] Loss: 0.012878
Epoch [182/600] Loss: 0.012872
Epoch [183/600] Loss: 0.012876
Epoch [184/600] Loss: 0.012880
Epoch [185/600] Loss: 0.012872
Epoch [186/600] Loss: 0.012874
Epoch [187/600] Loss: 0.012867
Epoch [188/600] Loss: 0.012868
Epoch [189/600] Loss: 0.012865
Epoch [190/600] Loss: 0.012868
Epoch [191/600] Loss: 0.012865
Epoch [192/600] Loss: 0.012860
Epoch [193/600] Loss: 0.012867
Epoch [194/600] Loss: 0.012862
Epoch [195/600] Loss: 0.012865
Epoch [196/600] Loss: 0.012867
Epoch [197/600] Loss: 0.012861
Epoch [198/600] Loss: 0.012861
Epoch [199/600] Loss: 0.012853
Epoch [200/600] Loss: 0.012856 | Val PSNR: 37.5767
  New best model saved (PSNR: 37.5767)
Epoch [201/600] Loss: 0.012762
Epoch [202/600] Loss: 0.012757
Epoch [203/600] Loss: 0.012760
Epoch [204/600] Loss: 0.012754
Epoch [205/600] Loss: 0.012753
Epoch [206/600] Loss: 0.012758
Epoch [207/600] Loss: 0.012750
Epoch [208/600] Loss: 0.012750
Epoch [209/600] Loss: 0.012754
Epoch [210/600] Loss: 0.012750
Epoch [211/600] Loss: 0.012752
Epoch [212/600] Loss: 0.012751
Epoch [213/600] Loss: 0.012752
Epoch [214/600] Loss: 0.012746
Epoch [215/600] Loss: 0.012748
Epoch [216/600] Loss: 0.012747
Epoch [217/600] Loss: 0.012740
Epoch [218/600] Loss: 0.012748
Epoch [219/600] Loss: 0.012743
Epoch [220/600] Loss: 0.012743
Epoch [221/600] Loss: 0.012741
Epoch [222/600] Loss: 0.012744
Epoch [223/600] Loss: 0.012739
Epoch [224/600] Loss: 0.012738
Epoch [225/600] Loss: 0.012738
Epoch [226/600] Loss: 0.012739
Epoch [227/600] Loss: 0.012740
Epoch [228/600] Loss: 0.012737
Epoch [229/600] Loss: 0.012736
Epoch [230/600] Loss: 0.012735
Epoch [231/600] Loss: 0.012739
Epoch [232/600] Loss: 0.012734
Epoch [233/600] Loss: 0.012737
Epoch [234/600] Loss: 0.012732
Epoch [235/600] Loss: 0.012733
Epoch [236/600] Loss: 0.012733
Epoch [237/600] Loss: 0.012734
Epoch [238/600] Loss: 0.012729
Epoch [239/600] Loss: 0.012730
Epoch [240/600] Loss: 0.012730
Epoch [241/600] Loss: 0.012731
Epoch [242/600] Loss: 0.012731
Epoch [243/600] Loss: 0.012728
Epoch [244/600] Loss: 0.012728
Epoch [245/600] Loss: 0.012726
Epoch [246/600] Loss: 0.012725
Epoch [247/600] Loss: 0.012724
Epoch [248/600] Loss: 0.012723
Epoch [249/600] Loss: 0.012722
Epoch [250/600] Loss: 0.012723 | Val PSNR: 37.5633
Epoch [251/600] Loss: 0.012722
Epoch [252/600] Loss: 0.012722
Epoch [253/600] Loss: 0.012723
Epoch [254/600] Loss: 0.012721
Epoch [255/600] Loss: 0.012721
Epoch [256/600] Loss: 0.012715
Epoch [257/600] Loss: 0.012720
Epoch [258/600] Loss: 0.012719
Epoch [259/600] Loss: 0.012718
Epoch [260/600] Loss: 0.012714
Epoch [261/600] Loss: 0.012717
Epoch [262/600] Loss: 0.012719
Epoch [263/600] Loss: 0.012716
Epoch [264/600] Loss: 0.012717
Epoch [265/600] Loss: 0.012721
Epoch [266/600] Loss: 0.012712
Epoch [267/600] Loss: 0.012712
Epoch [268/600] Loss: 0.012714
Epoch [269/600] Loss: 0.012715
Epoch [270/600] Loss: 0.012715
Epoch [271/600] Loss: 0.012709
Epoch [272/600] Loss: 0.012712
Epoch [273/600] Loss: 0.012708
Epoch [274/600] Loss: 0.012710
Epoch [275/600] Loss: 0.012714
Epoch [276/600] Loss: 0.012713
Epoch [277/600] Loss: 0.012709
Epoch [278/600] Loss: 0.012706
Epoch [279/600] Loss: 0.012708
Epoch [280/600] Loss: 0.012702
Epoch [281/600] Loss: 0.012706
Epoch [282/600] Loss: 0.012710
Epoch [283/600] Loss: 0.012707
Epoch [284/600] Loss: 0.012704
Epoch [285/600] Loss: 0.012699
Epoch [286/600] Loss: 0.012711
Epoch [287/600] Loss: 0.012702
Epoch [288/600] Loss: 0.012704
Epoch [289/600] Loss: 0.012702
Epoch [290/600] Loss: 0.012708
Epoch [291/600] Loss: 0.012701
Epoch [292/600] Loss: 0.012698
Epoch [293/600] Loss: 0.012698
Epoch [294/600] Loss: 0.012704
Epoch [295/600] Loss: 0.012701
Epoch [296/600] Loss: 0.012703
Epoch [297/600] Loss: 0.012699
Epoch [298/600] Loss: 0.012698
Epoch [299/600] Loss: 0.012700
Epoch [300/600] Loss: 0.012699 | Val PSNR: 37.6497
  New best model saved (PSNR: 37.6497)
Epoch [301/600] Loss: 0.012695
Epoch [302/600] Loss: 0.012694
Epoch [303/600] Loss: 0.012694
Epoch [304/600] Loss: 0.012694
Epoch [305/600] Loss: 0.012697
Epoch [306/600] Loss: 0.012695
Epoch [307/600] Loss: 0.012696
Epoch [308/600] Loss: 0.012696
Epoch [309/600] Loss: 0.012698
Epoch [310/600] Loss: 0.012692
Epoch [311/600] Loss: 0.012692
Epoch [312/600] Loss: 0.012690
Epoch [313/600] Loss: 0.012695
Epoch [314/600] Loss: 0.012689
Epoch [315/600] Loss: 0.012689
Epoch [316/600] Loss: 0.012695
Epoch [317/600] Loss: 0.012688
Epoch [318/600] Loss: 0.012689
Epoch [319/600] Loss: 0.012695
Epoch [320/600] Loss: 0.012683
Epoch [321/600] Loss: 0.012687
Epoch [322/600] Loss: 0.012693
Epoch [323/600] Loss: 0.012688
Epoch [324/600] Loss: 0.012691
Epoch [325/600] Loss: 0.012688
Epoch [326/600] Loss: 0.012685
Epoch [327/600] Loss: 0.012687
Epoch [328/600] Loss: 0.012687
Epoch [329/600] Loss: 0.012688
Epoch [330/600] Loss: 0.012684
Epoch [331/600] Loss: 0.012683
Epoch [332/600] Loss: 0.012681
Epoch [333/600] Loss: 0.012679
Epoch [334/600] Loss: 0.012688
Epoch [335/600] Loss: 0.012684
Epoch [336/600] Loss: 0.012685
Epoch [337/600] Loss: 0.012684
Epoch [338/600] Loss: 0.012684
Epoch [339/600] Loss: 0.012678
Epoch [340/600] Loss: 0.012675
Epoch [341/600] Loss: 0.012680
